flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2895.0,2811.0,2865.0,3123.0,3023.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2896.0,2807.0,2869.0,3123.0,3026.0,0.993774,-0.044861,-0.101807,0.003601,-1.0,0.0,-1.0,2037.0,-917.0,7727.0,382.0,-180.0,-262.0,426.0,-196.0,-162.0,0.202023,-0.089896,0.975223,4120.0,-1846.0,15400.0,0.0,9.0,-9.0
2895.0,2803.0,2871.0,3121.0,3025.0,0.993713,-0.045044,-0.102051,0.003479,0.0,0.0,-1.0,2034.0,-915.0,7742.0,375.0,-175.0,-245.0,416.0,-189.0,-147.0,0.202505,-0.090232,0.975035,4056.0,-1810.0,15490.0,2.0,13.0,-9.0
2899.0,2805.0,2870.0,3119.0,3023.0,0.993713,-0.045105,-0.102173,0.003418,-1.0,0.0,-1.0,2029.0,-913.0,7743.0,368.0,-172.0,-244.0,409.0,-187.0,-147.0,0.202753,-0.090341,0.975004,4020.0,-1800.0,15472.0,0.0,9.0,-10.0
2895.0,2809.0,2875.0,3119.0,3025.0,0.993652,-0.045288,-0.102539,0.003296,-1.0,0.0,-1.0,2034.0,-913.0,7735.0,367.0,-170.0,-250.0,409.0,-185.0,-153.0,0.203478,-0.090677,0.974791,4100.0,-1786.0,15416.0,-2.0,3.0,-13.0
2893.0,2807.0,2871.0,3121.0,3024.0,0.993652,-0.045349,-0.102722,0.003235,-1.0,0.0,-1.0,2036.0,-912.0,7741.0,366.0,-168.0,-244.0,407.0,-183.0,-147.0,0.203847,-0.090787,0.974747,4070.0,-1830.0,15506.0,-5.0,5.0,-12.0
2896.0,2805.0,2871.0,3121.0,3023.0,0.993591,-0.045593,-0.103088,0.003113,-1.0,0.0,-1.0,2032.0,-919.0,7735.0,356.0,-171.0,-248.0,398.0,-187.0,-153.0,0.204572,-0.091244,0.974527,4076.0,-1866.0,15438.0,-5.0,3.0,-12.0
2895.0,2806.0,2871.0,3122.0,3025.0,0.993591,-0.045715,-0.103271,0.003052,-1.0,0.0,-1.0,2036.0,-921.0,7736.0,357.0,-171.0,-246.0,399.0,-186.0,-150.0,0.20494,-0.091475,0.974478,4096.0,-1838.0,15490.0,0.0,4.0,-13.0
2895.0,2805.0,2871.0,3123.0,3023.0,0.99353,-0.045837,-0.103516,0.00293,0.0,0.0,-1.0,2039.0,-918.0,7734.0,356.0,-166.0,-247.0,398.0,-182.0,-152.0,0.205423,-0.091688,0.974294,4040.0,-1824.0,15516.0,4.0,12.0,-10.0
2895.0,2803.0,2873.0,3121.0,3024.0,0.99353,-0.045898,-0.103638,0.002869,0.0,0.0,-1.0,2035.0,-922.0,7737.0,350.0,-169.0,-244.0,392.0,-185.0,-150.0,0.205671,-0.091798,0.974263,4044.0,-1882.0,15510.0,3.0,12.0,-7.0
2896.0,2807.0,2871.0,3127.0,3023.0,0.993469,-0.046021,-0.103882,0.002747,0.0,0.0,-1.0,2027.0,-923.0,7732.0,338.0,-169.0,-247.0,381.0,-185.0,-155.0,0.206154,-0.092011,0.974079,4024.0,-1894.0,15478.0,9.0,12.0,-9.0
2896.0,2807.0,2871.0,3121.0,3025.0,0.993469,-0.046021,-0.104004,0.002747,0.0,0.0,-1.0,2025.0,-924.0,7732.0,334.0,-170.0,-247.0,377.0,-186.0,-156.0,0.206397,-0.092011,0.974054,4038.0,-1832.0,15442.0,9.0,13.0,-10.0
2896.0,2807.0,2871.0,3122.0,3030.0,0.993469,-0.046143,-0.104187,0.002625,0.0,0.0,-1.0,2025.0,-916.0,7745.0,331.0,-160.0,-234.0,371.0,-175.0,-144.0,0.206771,-0.092229,0.974004,4042.0,-1848.0,15516.0,4.0,13.0,-12.0
2897.0,2811.0,2875.0,3121.0,3027.0,0.993469,-0.046204,-0.104309,0.002563,0.0,0.0,-1.0,2020.0,-914.0,7746.0,324.0,-157.0,-232.0,364.0,-172.0,-144.0,0.207019,-0.092339,0.973972,4066.0,-1810.0,15512.0,6.0,11.0,-12.0
