flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2887.0,2800.0,2885.0,3103.0,3023.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2895.0,2803.0,2874.0,3120.0,3029.0,0.962219,0.065247,-0.264038,0.010803,-1.0,-2.0,-3.0,4839.0,1262.0,5971.0,664.0,280.0,-1008.0,1066.0,400.0,-486.0,0.509535,0.119858,0.852009,9780.0,2574.0,12032.0,-2.0,-27.0,-49.0
2896.0,2801.0,2878.0,3131.0,3024.0,0.961853,0.065918,-0.265137,0.010315,1.0,-1.0,-3.0,4863.0,1274.0,6006.0,673.0,280.0,-962.0,1052.0,394.0,-440.0,0.511405,0.121337,0.850625,9786.0,2672.0,12150.0,26.0,-10.0,-46.0
2907.0,2791.0,2877.0,3133.0,3030.0,0.961731,0.066406,-0.265625,0.010132,1.0,0.0,-3.0,4872.0,1308.0,6033.0,675.0,305.0,-930.0,1036.0,415.0,-407.0,0.512265,0.122347,0.850063,9780.0,2820.0,12234.0,40.0,3.0,-48.0
2883.0,2803.0,2883.0,3120.0,3030.0,0.961426,0.067261,-0.266418,0.009644,0.0,0.0,-2.0,4892.0,1389.0,6080.0,684.0,371.0,-874.0,1013.0,473.0,-344.0,0.51358,0.124194,0.84893,9804.0,2972.0,12250.0,18.0,13.0,-40.0
2927.0,2800.0,2879.0,3115.0,3027.0,0.961304,0.067627,-0.266785,0.00946,0.0,0.0,-2.0,4900.0,1417.0,6102.0,687.0,393.0,-848.0,1001.0,491.0,-317.0,0.514202,0.124972,0.848447,9856.0,2958.0,12318.0,1.0,17.0,-34.0
2897.0,2803.0,2877.0,3134.0,3029.0,0.961121,0.068054,-0.267456,0.009155,-1.0,0.0,-1.0,4889.0,1414.0,6139.0,667.0,382.0,-805.0,963.0,475.0,-290.0,0.515361,0.125919,0.847673,9676.0,2718.0,12338.0,-6.0,20.0,-11.0
2896.0,2805.0,2878.0,3139.0,3035.0,0.960999,0.068298,-0.267761,0.009155,0.0,0.0,0.0,4875.0,1395.0,6149.0,648.0,359.0,-791.0,941.0,450.0,-290.0,0.515887,0.126366,0.847241,9660.0,2688.0,12380.0,12.0,12.0,0.0
2895.0,2806.0,2877.0,3119.0,3025.0,0.960693,0.06897,-0.268616,0.009277,1.0,-1.0,0.0,4859.0,1381.0,6170.0,620.0,336.0,-761.0,903.0,425.0,-280.0,0.517394,0.127533,0.846107,9724.0,2738.0,12378.0,42.0,-11.0,11.0
2895.0,2802.0,2879.0,3123.0,3027.0,0.96051,0.069336,-0.269104,0.009399,2.0,-1.0,0.0,4859.0,1385.0,6185.0,613.0,335.0,-740.0,887.0,422.0,-265.0,0.518258,0.128137,0.845444,9732.0,2834.0,12450.0,47.0,-17.0,16.0
